id,name,age,email,country,salary,department
1,Sam,,,France,32387,IT
2,Olivia,,olivia@yahoo.com,U.S.A,50717,HR
3,Noah,twenty five,,France,54567,HR
4,Paul,twenty five,,canada,38606,HR
5,Alice, ,alice@gmail,USA,43200,HR
6,Frank, ,frank@gmail,canada,,IT
7,Tina,,,USA,45896,HR
8,Olivia,23,olivia@gmail, USA ,50000,HR
9,Grace,31,grace@gmail,india,12000,HR
10,Jack,49,jack@gmail.com,canada,not_available,IT
11,Liam, ,liam@gmail,Canada,73002,HR
12,Sam, ,, USA ,,HR
13,Paul,20,paul@gmail,canada,55706,HR
14,Mia,43,mia@hotmail.com, USA ,,IT
15,Tina, ,,Canada,,Sales
16,Paul, ,,Germany ,24550,IT
17,David,,david@gmail,Germany ,21000,IT
18,Sam,twenty five,sam@hotmail.com,USA,,IT
19,Jack, ,jack@gmail,Germany ,30000,HR
20,Sam, ,,Canada,47240,Sales
21,Liam, ,liam@gmail,India,44021,Sales
22,David,twenty five,david@gmail, USA ,,HR
23,Quinn, ,quinn@outlook.com,U.S.A,66000,HR
24,Quinn,26,,U.S.A,,Sales
25,Bob,58,bob@hotmail.com, USA ,57336,IT
26,Grace, ,, UK,34411,Sales
27,Hank,twenty five,hank@hotmail.com, UK,77000,HR
28,Sam, ,,Canada,43000,Sales
29,Mia,33,mia@gmail, UK,55000,IT
30,Jack,57,jack@outlook.com,India,37346,HR
31,Mia,,mia@gmail,Germany ,not_available,Sales
32,Mia,twenty five,,USA,84893,IT
33,Bob, ,bob@gmail.com,india,47810,HR
34,Noah,59,,India,36000,IT
35,Liam,,liam@gmail,India,,HR
36,Ivy,,,canada,22000,IT
37,Bob,twenty five,bob@gmail.com,canada,74333,IT
38,Hank,,, USA ,80332,IT
39,Jack, ,jack@hotmail.com, USA ,54000,IT
40,Jack,twenty five,jack@gmail,USA,32000,IT
41,Grace,34,grace@hotmail.com,France,,IT
42,Rose, ,rose@gmail.com,Canada,33000,IT
43,Ivy,42,ivy@gmail,Canada,50901,IT
44,Quinn,,, UK,not_available,HR
45,Liam,twenty five,liam@gmail,USA,62035,HR
46,Tina,twenty five,tina@hotmail.com,india,,Sales
47,Mia,30,mia@hotmail.com,U.S.A,24907,HR
48,Grace,twenty five,,France,60610,IT
49,Noah,,,Germany ,89904,IT
50,Rose,,rose@yahoo.com,France,40000,HR
51,Noah,52,noah@hotmail.com,India,67970,IT
52,Olivia, ,olivia@gmail,India,,IT
53,Liam,twenty five,liam@outlook.com, UK,41000,IT
54,Alice,30,,France,67000,Sales
55,Bob,twenty five,,U.S.A,,HR
56,Alice,36,alice@gmail,canada,,IT
57,Quinn,43,, UK,19000,IT
58,Olivia,twenty five,olivia@gmail,canada,78848,IT
59,Frank,twenty five,,Canada,51000,HR
60,Frank, ,frank@hotmail.com,India,18000,IT
61,Charlie,54,, USA ,41000,IT
62,Rose,47,rose@gmail, USA ,,IT
63,Charlie,29,charlie@yahoo.com,Germany ,22000,HR
64,Quinn, ,,India,31000,IT
65,Hank,,,USA,,IT
66,David,twenty five,,Canada,18000,Sales
67,Grace,twenty five,grace@gmail,Germany ,,HR
68,Tina,,,india,17000,IT
69,Frank, ,frank@gmail,Germany ,32000,Sales
70,David, ,david@gmail.com,canada,24000,HR
71,Quinn,36,, UK,76322,Sales
72,Noah,53,,USA,98156,Sales
73,David, ,david@gmail,Germany ,87328,IT
74,Ivy,twenty five,ivy@gmail,india,not_available,Sales
75,Olivia,,,Germany ,not_available,HR
76,Sam,,sam@gmail,canada,67753,Sales
77,Alice, ,,canada,,HR
78,Jack, ,jack@gmail.com,France,,IT
79,Liam,,liam@yahoo.com,U.S.A,83207,IT
80,Rose,51,,USA,65000,IT
81,Olivia,twenty five,olivia@outlook.com,Canada,62928,IT
82,Quinn,56,quinn@gmail,Germany ,,HR
83,Alice,,,Germany ,32000,HR
84,Liam,52,liam@gmail,india,45400,IT
85,Quinn, ,quinn@gmail.com,Germany ,53210,IT
86,Mia, ,mia@gmail,Germany ,47978,IT
87,Olivia,27,olivia@gmail,France,28000,IT
88,Frank,21,frank@gmail,U.S.A,,IT
89,Olivia,,, UK,38000,IT
90,Liam,,liam@gmail,Germany ,,HR
91,Mia,twenty five,,canada,75368,IT
92,Bob,twenty five,bob@gmail,India,42000,IT
93,Tina,25,tina@gmail.com,France,32000,HR
94,Uma,twenty five,uma@gmail.com, UK,64000,IT
95,Noah,31,noah@gmail,U.S.A,72953,IT
96,Sam,,sam@gmail,Germany ,41000,HR
97,Tina, ,,U.S.A,54000,IT
98,Alice, ,alice@gmail.com,India,27000,HR
99,Alice,27,alice@gmail.com,Canada,31000,HR
100,Hank,twenty five,hank@gmail, USA ,43000,IT
