id,name,age,email,country,salary,department,email_valid,missing_required
1,Sam,36.0,,France,32387.0,IT,False,True
2,Olivia,36.0,olivia@yahoo.com,U.S.A,50717.0,HR,True,False
3,Noah,36.0,,France,54567.0,HR,False,True
4,Paul,36.0,,Canada,38606.0,HR,False,True
5,Alice,36.0,,Usa,43200.0,HR,False,True
6,Frank,36.0,,Canada,45648.0,IT,False,True
7,Tina,36.0,,Usa,45896.0,HR,False,True
8,Olivia,23.0,,Usa,50000.0,HR,False,True
9,Grace,31.0,,India,12000.0,HR,False,True
10,Jack,49.0,jack@gmail.com,Canada,45648.0,IT,True,False
11,Liam,36.0,,Canada,73002.0,HR,False,True
12,Sam,36.0,,Usa,45648.0,HR,False,True
13,Paul,20.0,,Canada,55706.0,HR,False,True
14,Mia,43.0,mia@hotmail.com,Usa,45648.0,IT,True,False
15,Tina,36.0,,Canada,45648.0,Sales,False,True
16,Paul,36.0,,Germany,24550.0,IT,False,True
17,David,36.0,,Germany,21000.0,IT,False,True
18,Sam,36.0,sam@hotmail.com,Usa,45648.0,IT,True,False
19,Jack,36.0,,Germany,30000.0,HR,False,True
20,Sam,36.0,,Canada,47240.0,Sales,False,True
21,Liam,36.0,,India,44021.0,Sales,False,True
22,David,36.0,,Usa,45648.0,HR,False,True
23,Quinn,36.0,quinn@outlook.com,U.S.A,66000.0,HR,True,False
24,Quinn,26.0,,U.S.A,45648.0,Sales,False,True
25,Bob,58.0,bob@hotmail.com,Usa,57336.0,IT,True,False
26,Grace,36.0,,Uk,34411.0,Sales,False,True
27,Hank,36.0,hank@hotmail.com,Uk,77000.0,HR,True,False
28,Sam,36.0,,Canada,43000.0,Sales,False,True
29,Mia,33.0,,Uk,55000.0,IT,False,True
30,Jack,57.0,jack@outlook.com,India,37346.0,HR,True,False
31,Mia,36.0,,Germany,45648.0,Sales,False,True
32,Mia,36.0,,Usa,84893.0,IT,False,True
33,Bob,36.0,bob@gmail.com,India,47810.0,HR,True,False
34,Noah,59.0,,India,36000.0,IT,False,True
35,Liam,36.0,,India,45648.0,HR,False,True
36,Ivy,36.0,,Canada,22000.0,IT,False,True
37,Bob,36.0,bob@gmail.com,Canada,74333.0,IT,True,False
38,Hank,36.0,,Usa,80332.0,IT,False,True
39,Jack,36.0,jack@hotmail.com,Usa,54000.0,IT,True,False
40,Jack,36.0,,Usa,32000.0,IT,False,True
41,Grace,34.0,grace@hotmail.com,France,45648.0,IT,True,False
42,Rose,36.0,rose@gmail.com,Canada,33000.0,IT,True,False
43,Ivy,42.0,,Canada,50901.0,IT,False,True
44,Quinn,36.0,,Uk,45648.0,HR,False,True
45,Liam,36.0,,Usa,62035.0,HR,False,True
46,Tina,36.0,tina@hotmail.com,India,45648.0,Sales,True,False
47,Mia,30.0,mia@hotmail.com,U.S.A,24907.0,HR,True,False
48,Grace,36.0,,France,60610.0,IT,False,True
49,Noah,36.0,,Germany,89904.0,IT,False,True
50,Rose,36.0,rose@yahoo.com,France,40000.0,HR,True,False
51,Noah,52.0,noah@hotmail.com,India,67970.0,IT,True,False
52,Olivia,36.0,,India,45648.0,IT,False,True
53,Liam,36.0,liam@outlook.com,Uk,41000.0,IT,True,False
54,Alice,30.0,,France,67000.0,Sales,False,True
55,Bob,36.0,,U.S.A,45648.0,HR,False,True
56,Alice,36.0,,Canada,45648.0,IT,False,True
57,Quinn,43.0,,Uk,19000.0,IT,False,True
58,Olivia,36.0,,Canada,78848.0,IT,False,True
59,Frank,36.0,,Canada,51000.0,HR,False,True
